module_title,lesson_title,youtube_url,required_access,order_index
Module- 1: Foundation of Vedic Mathematics,Introduction to Vedic Mathematics – History & Origin,https://youtu.be/-pg8kJFa4xo,partial,1
Module- 1: Foundation of Vedic Mathematics,What is Vedic Mathematics? Uses and Benefits of Vedic Mathematics,https://youtu.be/K36ObWjVxcQ,partial,2
Module- 1: Foundation of Vedic Mathematics,Common Terminologies Used in Vedic Maths,https://youtu.be/PLIK9rxpPyc,partial,3
Module- 1: Foundation of Vedic Mathematics,Beejank / Digit Sum / Digital Root,https://youtu.be/K5X6NfsLjeI,partial,4
Module- 1: Foundation of Vedic Mathematics,Applications of Beejank in Quick Checking,https://youtu.be/iI8vABluQMM,partial,5
Module- 1: Foundation of Vedic Mathematics,Finding Complements (Purak),https://youtu.be/rpHO4Xajz2Y,partial,6
Module- 1: Foundation of Vedic Mathematics,Balancing Lines Method for Complements,https://youtu.be/rGHHALNGUcA,partial,7
Module- 1: Foundation of Vedic Mathematics,"Multiplication Tables ending with 9, 19, 29 … 99",https://youtu.be/zjEaEVkKLzQ,partial,8
Module- 1: Foundation of Vedic Mathematics,Multiplication Tables of Any Two-Digit Numbers,https://youtu.be/VzuohZyWXFg,partial,9
Module- 1: Foundation of Vedic Mathematics,Vinculum Numbers – Introduction,https://youtu.be/A3n-atHyA1I,partial,10
Module- 1: Foundation of Vedic Mathematics,Converting Normal Numbers to Vinculum Form,https://youtu.be/61T93Ykuvqk,partial,11
Module- 1: Foundation of Vedic Mathematics,Converting Vinculum Numbers to Normal Form,https://youtu.be/Yzfa1hugn7k,partial,12
Module- 1: Foundation of Vedic Mathematics,Verifying Vinculum using Beejank Concept,https://youtu.be/7cWJvxGgS3s,partial,13
Module- 1: Foundation of Vedic Mathematics,Applications of Vinculum Numbers,https://youtu.be/qxEZRLWvnFQ,partial,14
Module- 1: Foundation of Vedic Mathematics,Multiplication Tables using Vinculum (Operators),https://youtu.be/2Yvx_zpm48Q,partial,15
Module- 1: Foundation of Vedic Mathematics,Addition by Whole Method,https://youtu.be/ukLV7Z0Euo4,partial,16
Module- 1: Foundation of Vedic Mathematics,Place-wise Addition,https://youtu.be/YqeQhYv5Ezs,partial,17
Module- 1: Foundation of Vedic Mathematics,Addition by Shuddha Method,https://youtu.be/vNHLkyIWzdA,partial,18
Module- 1: Foundation of Vedic Mathematics,Subtraction by Shuddha Method,https://youtu.be/gERJ-lzX9cw,partial,19
Module- 1: Foundation of Vedic Mathematics,Trick – All from 9 and the Last from 10,https://youtu.be/6P7pOGpr-Ug,partial,20
Module- 1: Foundation of Vedic Mathematics,Subtraction Overview,https://youtu.be/SZmra3gb-q8,partial,21
Module- 1: Foundation of Vedic Mathematics,Simultaneous Addition and Subtraction,https://youtu.be/w-vgTJ_UTS8,partial,22
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Introduction to Nikhilam Sutra,https://youtu.be/bYo-YSN4TBw,partial,1
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Single-Digit Numbers less than Base,https://youtu.be/AaTqWv7nCrw,partial,2
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Single-Digit Numbers more than Base,https://youtu.be/y_tFLFpgopQ,partial,3
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Two-Digit Numbers less than Base,https://youtu.be/ecLbOEu8nl0,partial,4
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Two-Digit Numbers more than Base,https://youtu.be/p9eGUBc8BQ4,partial,5
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication when One Number is above Base & Other Below,https://youtu.be/VUdjqqmiepA,partial,6
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Three-Digit Numbers less than Base,https://youtu.be/we--m99OmdQ,partial,7
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Three-Digit Numbers more than Base,https://youtu.be/b5KA99Bl6eQ,partial,8
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication when One Number is above & Other Below Base,https://youtu.be/gL_LXe7wCiI,partial,9
